id,created_on,property_type,place_name,place_with_parent_names,country_name,state_name,price,currency,surface_total_in_m2,surface_covered_in_m2,price_per_m2,rooms,title,image_thumbnail
07d80c087c32d097cfa2095703187517b0127df7,2017-11-21,house,Maceió,|Brasil|Alagoas|Maceió|,Brasil,Alagoas,"R$23,000",BRL,96,54,R$425.93,3,"Casa naForene - Casa em Condomínio a Venda no bairro Forene - Maceio, AL",https://thumbs4.properati.com/4/II5YT_96xnhLmOPpjlhTImd4WnU=/trim/198x0/smart/filters:strip_icc()/http://d1bbhee853jxyq.cloudfront.net/img/38501/108be91b7d096cc357575f99f226caafd4b.jpg
fdefb96ead74e903afb1ccfaa2825ca27087eb60,2017-08-25,house,Olinda,|Brasil|Pernambuco|Olinda|,Brasil,Pernambuco,"R$80,000",BRL,200,100,R$800.00,3,Casa em Rio Doce na estarda Velha do Paulista com 3 quartos,https://thumbs4.properati.com/5/Ml-UlvRYMdOKWj5LyghnpS3d3-w=/trim/198x0/smart/filters:strip_icc()/http://d1bbhee853jxyq.cloudfront.net/uploads/porpetiesOne/a2efbaf31c2c1d7a9967666cc509ef0e.jpg
62d525426630f548375f1130992fa83a4670c329,2017-11-21,house,Ponta Grossa,|Brasil|Paraná|Ponta Grossa|,Brasil,Paraná,"R$105,000",BRL,300,70,"R$1,500.00",3,Casa à Venda no Contorno - Ponta Grossa/PR,https://thumbs4.properati.com/9/u8TPNek00ZcAz3YdGye5Hl7if4s=/trim/198x0/smart/filters:strip_icc()/http://feedmedia.egorealestate.com/Zfeed/S5/C5529/P8380338/Tphoto/IDb2df7f00-0000-0500-0000-0000043ac98e.jpg
96f46cdf53080ed3f2847bc8b7fe83fb105cbdd7,2017-10-26,house,Colina Azul,|Brasil|Goiás|Aparecida de Goiânia|Colina Azul|,Brasil,Goiás,"R$114,900",BRL,220,220,R$522.27,3,Casa 3 Q lote grande - Colina Azul - Cidade Livre,https://thumbs4.properati.com/6/aWi0fJQNBcUEnZFRWfFN4bUeD-A=/trim/198x0/smart/filters:strip_icc()/http://d1bbhee853jxyq.cloudfront.net/img/32079/a71980e3f6bee512b1a902a2b4eb401f.jpg
1fb14762c655f7e0daa74d45bff046882b45bfc6,2017-09-20,house,São João do Rio Vermelho,|Brasil|Santa Catarina|Florianópolis|São João do Rio Vermelho|,Brasil,Santa Catarina,"R$117,000",BRL,100,70,"R$1,671.43",3,"Casa para venda São João do Rio Vermelho,  Florianópolis",https://thumbs4.properati.com/9/MgEfsnCHgg8-tFl-UDOSfse5zuw=/trim/198x0/smart/filters:strip_icc()/http://d1bbhee853jxyq.cloudfront.net/img/21980/ffb96966e917e7e874ad8d29eb025ab0.jpg
7846da52aac8e2123964ac562509487a3c4a660a,2017-11-21,house,Cordovil,|Brasil|Rio de Janeiro|Rio de Janeiro|Cordovil|,Brasil,Rio de Janeiro,"R$135,000",BRL,70,60,"R$2,250.00",3,"Casa três quartos, cozinha, banheiro e possibilidade de ampliar",https://thumbs4.properati.com/4/gvO_gbjSekjv0_slYd7lNduamJc=/trim/198x0/smart/filters:strip_icc()/http://d1bbhee853jxyq.cloudfront.net/img/40266/ce1a416a5b60bd151ff5a5eeca8082bd.JPG
aca89b756e3c6c64c8cdea9d3c3f8a93de7c0686,2017-08-25,house,Pau Amarelo,|Brasil|Paraíba|Paulista|Pau Amarelo|,Brasil,Paraíba,"R$144,000",BRL,60,60,"R$2,400.00",3,Lindo prive em Pau Amarelo com 3 quartos,https://thumbs4.properati.com/3/HTUvg817Fy5_D1cbRWHpNilvcEQ=/trim/198x0/smart/filters:strip_icc()/http://d1bbhee853jxyq.cloudfront.net/uploads/porpetiesOne/e55e6dfb0bf2cd34b8a5490b2100ac2a.jpg
4c34d6e91b82d107bac31ee777b45aac9c250b2f,2017-10-21,house,Maracanaú,|Brasil|Ceará|Maracanaú|,Brasil,Ceará,"R$152,000",BRL,140,85,"R$1,788.24",3,"Casa Plana, 3 Quartos (2 Suítes), 2 Vagas de Garagem - Maracanaú",https://thumbs4.properati.com/0/DIKxa_gy1CCkOFCB3xNIIw3HPLM=/trim/198x0/smart/filters:strip_icc()/http://feedmedia.egorealestate.com/Zfeed/S5/C2099/P8244620/Tphoto/ID8ccd7d00-0000-0500-0000-0000042639ae.jpg
c8ea3269fb96f345b1315632551b3528b407a058,2017-10-17,house,Viamão,|Brasil|Rio Grande do Sul|Viamão|,Brasil,Rio Grande do Sul,"R$165,000",BRL,98,70,"R$2,357.14",3,Casa Caminho do Meio 3 dormitórios 1 banheiros 1 vagas 70 m2,https://thumbs4.properati.com/5/o8W62aZM1KYV1JmIvOq5sVUkmls=/trim/198x0/smart/filters:strip_icc()/http://www.luiz-corretor.redecolibri.com.br/media/upload/photo/2017/10/16/4rJpzcbKbEPsr9rHZbJ37w.jpg
bb7ef4d909e25b457e7dd5dc2a10e102cd256843,2017-09-20,house,Ribeirão Preto,|Brasil|São Paulo|Ribeirão Preto|,Brasil,São Paulo,"R$170,000",BRL,200,89,"R$1,910.11",3,Casa três dormitórios Arlindo Laguna,https://thumbs4.properati.com/7/y3xXBdymn7zw3w5mjzV4Lrfs_Oc=/trim/198x0/smart/filters:strip_icc()/http://d1bbhee853jxyq.cloudfront.net/img/28142/22964d4c9f4d6371dde55b193309dd9c470.jpg
